date,nav_per_unit,short_name
2007-03-23,47376.51,DCDS
2007-03-30,44441.77,DCDS
2007-03-31,44741.3,DCDS
2007-04-06,43438.37,DCDS
2007-04-13,42979.22,DCDS
2007-04-20,40680.06,DCDS
2007-04-27,39529.11,DCDS
2007-04-30,40341.15,DCDS
2007-05-04,40007.18,DCDS
2007-05-11,41742.05,DCDS
2007-05-18,41591.6,DCDS
2007-05-25,42675.99,DCDS
2007-05-31,42017.78,DCDS
2007-06-01,41985.32,DCDS
2007-06-08,41141.22,DCDS
2007-06-15,41220.28,DCDS
2007-06-22,41540.46,DCDS
2007-06-29,41861.46,DCDS
2007-06-30,42055.3,DCDS
2007-07-06,36925.39,DCDS
2007-07-13,37592.49,DCDS
2007-07-20,37021.06,DCDS
2007-07-27,36720.54,DCDS
2007-07-31,36339.08,DCDS
2007-08-03,36255.77,DCDS
2007-08-10,35839.74,DCDS
2007-08-17,35028.3,DCDS
2007-08-24,35516.08,DCDS
2007-08-31,35587.51,DCDS
2007-09-07,35609.18,DCDS
2007-09-14,35529.45,DCDS
2007-09-21,36055.06,DCDS
2007-09-28,37958.15,DCDS
2007-09-30,37642.84,DCDS
2007-10-05,39532.95,DCDS
2007-10-12,40606.07,DCDS
2007-10-19,41395.26,DCDS
2007-10-26,42133.92,DCDS
2007-10-31,40936.85,DCDS
2007-11-02,41457.88,DCDS
2007-11-09,39999.51,DCDS
2007-11-16,39431.37,DCDS
2007-11-23,38996.72,DCDS
2007-11-30,39208.62,DCDS
2007-12-07,39380.13,DCDS
2007-12-14,38498.08,DCDS
2007-12-21,38519.87,DCDS
2007-12-28,38150.05,DCDS
2007-12-31,38371.41,DCDS
2008-01-04,37568.65,DCDS
2008-01-11,36374.52,DCDS
2008-01-18,35717.76,DCDS
2008-01-25,34702.42,DCDS
2008-01-31,36059.24,DCDS
2008-02-08,36335.04,DCDS
2008-02-15,35732.06,DCDS
2008-02-22,31809.64,DCDS
2008-02-29,30648.74,DCDS
2008-03-07,29934.74,DCDS
2008-03-14,29658.27,DCDS
2008-03-21,26970.2,DCDS
2008-03-27,25484.23,DCDS
2008-03-31,25832.25,DCDS
2008-04-03,26194.54,DCDS
2008-04-10,26152.29,DCDS
2008-04-17,24398.09,DCDS
2008-04-24,23628.92,DCDS
2008-04-30,23503.45,DCDS
2008-05-01,23503.79,DCDS
2008-05-08,22368.72,DCDS
2008-05-15,20661.13,DCDS
2008-05-22,19404.48,DCDS
2008-05-29,18838.07,DCDS
2008-05-31,18811.52,DCDS
2008-06-05,18170.9,DCDS
2008-06-12,17483.78,DCDS
2008-06-19,17659.69,DCDS
2008-06-26,17810.93,DCDS
2008-06-30,18019.93,DCDS
2008-07-03,18662.92,DCDS
2008-07-10,19275.9,DCDS
2008-07-17,20378.35,DCDS
2008-07-24,19190.88,DCDS
2008-07-31,19226.4,DCDS
2008-08-07,18984.07,DCDS
2008-08-14,19639.47,DCDS
2008-08-21,20774.45,DCDS
2008-08-28,21808.33,DCDS
2008-08-31,21952.44,DCDS
2008-09-04,22500.86,DCDS
2008-09-11,21268.37,DCDS
2008-09-18,19310.87,DCDS
2008-09-25,20285.02,DCDS
2008-09-30,19824.85,DCDS
2008-10-02,19940.56,DCDS
2008-10-09,18689.03,DCDS
2008-10-16,18110.35,DCDS
2008-10-23,17361.86,DCDS
2008-10-30,16858.97,DCDS
2008-10-31,17041.16,DCDS
2008-11-06,17604.83,DCDS
2008-11-13,17173.13,DCDS
2008-11-20,16943.51,DCDS
2008-11-27,16633.37,DCDS
2008-11-30,16866.51,DCDS
2008-12-04,16754.1,DCDS
2008-12-11,16312.95,DCDS
2008-12-18,16754.01,DCDS
2008-12-25,16886.28,DCDS
2008-12-31,16969.72,DCDS
2009-01-01,16970.17,DCDS
2009-01-08,16974.73,DCDS
2009-01-15,16761.07,DCDS
2009-01-22,16731.83,DCDS
2009-01-29,16737.64,DCDS
2009-01-31,16738.35,DCDS
2009-02-05,16063.48,DCDS
2009-02-12,16133.27,DCDS
2009-02-19,15634.79,DCDS
2009-02-26,15427.99,DCDS
2009-02-28,15479.98,DCDS
2009-03-05,15422.51,DCDS
2009-03-12,15536.41,DCDS
2009-03-19,16036.05,DCDS
2009-03-26,16410.33,DCDS
2009-03-31,16177.79,DCDS
2009-04-02,16550.61,DCDS
2009-04-09,17026.11,DCDS
2009-04-16,18282.21,DCDS
2009-04-23,17490.1,DCDS
2009-04-30,17576.43,DCDS
2009-05-07,18690.34,DCDS
2009-05-14,18675.08,DCDS
2009-05-21,19384.86,DCDS
2009-05-28,19547.89,DCDS
2009-05-31,19454.54,DCDS
2009-06-04,20706.0,DCDS
2009-06-11,22136.73,DCDS
2009-06-18,22026.07,DCDS
2009-06-25,21428.31,DCDS
2009-06-30,21132.56,DCDS
2009-07-02,20832.37,DCDS
2009-07-09,21521.43,DCDS
2009-07-16,21513.62,DCDS
2009-07-23,21462.52,DCDS
2009-07-30,22065.62,DCDS
2009-07-31,22722.75,DCDS
2009-08-06,23249.35,DCDS
2009-08-13,24247.58,DCDS
2009-08-20,24920.92,DCDS
2009-08-27,25201.09,DCDS
2009-08-31,25968.46,DCDS
2009-09-03,27926.26,DCDS
2009-09-10,26668.55,DCDS
2009-09-17,27664.2,DCDS
2009-09-24,28791.94,DCDS
2009-09-30,28181.25,DCDS
2009-10-01,27912.42,DCDS
2009-10-08,28166.72,DCDS
2009-10-15,29157.76,DCDS
2009-10-22,28916.21,DCDS
2009-10-29,27926.26,DCDS
2009-10-31,28019.93,DCDS
2009-11-05,26970.95,DCDS
2009-11-12,26790.99,DCDS
2009-11-19,27649.17,DCDS
2009-11-26,24735.41,DCDS
2009-11-30,25602.36,DCDS
